question_id,model_name,question_type,llm_answer,correct_answer,is_correct,score,details,processing_time,error,timestamp
0001,google/gemini-2.5-flash-lite,multiple_choice_radio,D,"[{'id': 'D', 'description': 'Cosmè Tura.'}]",True,1.0,"User: D, Correct: D",2.104727029800415,,2025-10-16T13:32:05.460580
0002,google/gemini-2.5-flash-lite,multiple_choice_radio,B,"[{'id': 'B', 'description': 'Castello di San Giorgio a Mantova.'}]",True,1.0,"User: B, Correct: B",1.9770419597625732,,2025-10-16T13:32:07.938659
0003,google/gemini-2.5-flash-lite,multiple_choice_radio,B,"[{'id': 'B', 'description': 'Risposta esatta. Si tratta del famoso ritratto di Giovanni Bellini del Doge Leonardo Loredan, eseguito per la sua elezione circa nel 1501.'}]",True,1.0,"User: B, Correct: B",2.0328009128570557,,2025-10-16T13:32:10.472225
0004,google/gemini-2.5-flash-lite,multiple_choice_check,"B, D, E","[{'id': 'B', 'description': 'Risposta non data.'}, {'id': 'D', 'description': 'Risposta non data.'}, {'id': 'E', 'description': 'Risposta esatta.'}]",True,1.0,"Perfect match: ['B', 'D', 'E']",2.0795040130615234,,2025-10-16T13:32:13.052442
0005,google/gemini-2.5-flash-lite,multiple_choice_check,"A, D, F","[{'id': 'A', 'description': 'Risposta non data.'}, {'id': 'D', 'description': 'Risposta non data.'}, {'id': 'E', 'description': 'Risposta esatta.'}, {'id': 'F', 'description': 'Risposta non data.'}]",False,0.75,"User: ['A', 'D', 'F'], Correct: ['A', 'D', 'E', 'F']",1.935788631439209,,2025-10-16T13:32:15.488915
0006,google/gemini-2.5-flash-lite,multiple_choice_check,"B, C, D","[{'id': 'B', 'description': 'Risposta non data.'}, {'id': 'C', 'description': 'Risposta non data.'}, {'id': 'D', 'description': 'Risposta non data.'}, {'id': 'F', 'description': 'Risposta esatta.'}]",False,0.75,"User: ['B', 'C', 'D'], Correct: ['B', 'C', 'D', 'F']",1.6288740634918213,,2025-10-16T13:32:17.618921
0007,google/gemini-2.5-flash-lite,true_false,"A: Falso, B: Vero, C: Falso, D: Falso, E: Falso","[{'id': 'A', 'text': 'True', 'note': 'Risposta esatta.'}, {'id': 'B', 'text': 'True', 'note': 'Risposta esatta.'}, {'id': 'C', 'text': 'True', 'note': 'Risposta esatta.'}, {'id': 'D', 'text': 'True', 'note': 'Risposta esatta.'}, {'id': 'E', 'text': 'False', 'note': 'Risposta esatta.'}]",False,0.4,Matched 2/5 statements,2.096684455871582,,2025-10-16T13:32:20.216584
0008,google/gemini-2.5-flash-lite,true_false,"A: Falso, B: Vero, C: Falso, D: Vero, E: Vero","[{'id': 'A', 'text': 'True', 'note': 'Risposta esatta.'}, {'id': 'B', 'text': 'True', 'note': 'Risposta esatta.'}, {'id': 'C', 'text': 'False', 'note': 'Risposta esatta.'}, {'id': 'D', 'text': 'False', 'note': 'Risposta esatta.'}, {'id': 'E', 'text': 'False', 'note': 'Risposta esatta.'}]",False,0.4,Matched 2/5 statements,2.2568979263305664,,2025-10-16T13:32:22.974236
0009,google/gemini-2.5-flash-lite,completion_closed,"BLANK_1: San Giorgio, BLANK_2: Mantova, BLANK_3: sfondamento, BLANK_4: volta, BLANK_5: Gonzaga, BLANK_6: Cardinale, BLANK_7: Francesco","[{'id': 'BLANK_1', 'description': 'San Giorgio'}, {'id': 'BLANK_2', 'description': 'Mantova'}, {'id': 'BLANK_3', 'description': 'sfondamento'}, {'id': 'BLANK_4', 'description': 'volta'}, {'id': 'BLANK_5', 'description': 'Gonzaga'}, {'id': 'BLANK_6', 'description': 'Cardinale'}, {'id': 'BLANK_7', 'description': 'Francesco'}]",True,1.0,Matched 7/7 blanks,3.4863953590393066,,2025-10-16T13:32:26.961457
0010,google/gemini-2.5-flash-lite,select_errors,"Attorno al 1450, in primo piano, due frecce, al cielo, eroica, classica","['1490', 'primo piano', 'transenna', 'al cielo', 'eroica', 'classica']",False,0.6666666666666666,Matched 4/6 answers,2.614912509918213,,2025-10-16T13:32:30.077165
0011,google/gemini-2.5-flash-lite,multiple_choice_radio,D,"[{'id': 'D', 'description': 'Antonello da Messina.'}]",True,1.0,"User: D, Correct: D",2.0353431701660156,,2025-10-16T13:32:32.613183
0012,google/gemini-2.5-flash-lite,completion_closed,"BLANK_1: Andrea Mantegna, BLANK_2: artificiosità, BLANK_3: vero, BLANK_4: prospettiva, BLANK_5: tonale","[{'id': 'BLANK_1', 'description': 'Andrea Mantegna'}, {'id': 'BLANK_2', 'description': 'artificiosità'}, {'id': 'BLANK_3', 'description': 'vero'}, {'id': 'BLANK_4', 'description': 'prospettiva'}, {'id': 'BLANK_5', 'description': 'tonale'}]",True,1.0,Matched 5/5 blanks,2.4469833374023438,,2025-10-16T13:32:35.561081
0013,google/gemini-2.5-flash-lite,multiple_choice_check,"C, D, E","[{'id': 'C', 'description': ""L'autore è Andrea Mantegna.""}, {'id': 'D', 'description': 'Cinque angeli mostrano a Cristo in preghiera i simboli della passione.'}, {'id': 'E', 'description': ""S'intitola L'orazione nell'Orto.""}]",True,1.0,"Perfect match: ['C', 'D', 'E']",1.985142469406128,,2025-10-16T13:32:38.047198
0014,google/gemini-2.5-flash-lite,multiple_choice_check,"A, C, E","[{'id': 'A', 'description': ""La prospettiva unifica l'ambiente del trittico.""}, {'id': 'C', 'description': 'I santi ai lati sono omonimi dei fratelli Pesaro, committenti della pala.'}, {'id': 'E', 'description': ""L'opera è ancora in situ, cioè nella Chiesa per cui è stata creata.""}]",True,1.0,"Perfect match: ['A', 'C', 'E']",1.7182128429412842,,2025-10-16T13:32:40.266280
0015,google/gemini-2.5-flash-lite,multiple_choice_check,"A, B, D, F","[{'id': 'E', 'description': 'La posa della Vergine e del bambino è di profilo.'}]",False,0.0,"User: ['A', 'B', 'D', 'F'], Correct: ['E']",2.5751986503601074,,2025-10-16T13:32:43.342288
